Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1746052901.45,37.87375252258518,-122.256578993478,37.0,3.0,4.0,5.0,23.17873046875,46.519744504298984,1001.4302678607839,98.87539155939427,270783.0
1746052903.47,37.873777335546656,-122.25650451361244,37.0,2.5,4.0,5.0,23.141328125,46.631935210201526,1001.4596017139013,98.62883860515713,273658.0
1746052905.45,37.87378093340837,-122.25649455073363,33.5,2.5,4.0,5.0,23.11154296875,46.703189717185055,1001.4817721531313,98.44249842727712,271417.5
1746052907.49,37.87378093340837,-122.25649455073363,38.5,2.0,4.0,5.0,23.0880078125,46.811157119527216,1001.4910213250788,98.36476119431877,270577.5
1746052909.46,37.87378093340837,-122.25649455073363,37.5,2.0,4.0,5.0,23.067402343749997,46.98248489891109,1001.4960160585586,98.32278185078295,267759.5
1746052911.47,37.87368513647269,-122.25652498204471,31.5,2.0,4.0,5.0,23.0485546875,47.14517383653754,1001.5108405299246,98.19818715293809,269105.0
1746052913.43,37.87370005626033,-122.25658466119529,31.5,2.0,4.0,5.0,23.02599609375,47.256510633080055,1001.5251665056763,98.07778351476205,269731.5
1746052915.48,37.87371878981392,-122.25661139946641,39.5,2.0,4.0,5.0,23.0110546875,47.3267781707463,1001.5484539087622,97.88206595035052,271946.5
1746052917.46,37.87374452225666,-122.2566256487018,41.5,2.0,4.0,5.0,23.0008984375,47.358592924910816,1001.5376316927757,97.97302012897052,273550.5
1746052919.49,37.873769751785204,-122.25663185131015,30.5,2.0,4.0,5.0,22.98947265625,47.34219167180136,1001.5407214736199,97.9470523160572,274741.5
1746052921.45,37.87379246655862,-122.25663773881216,39.5,2.0,4.0,5.0,22.97580078125,47.33152833442589,1001.5339804058533,98.00370716220547,274307.0
1746052923.5,37.87382161639197,-122.25665003174986,39.5,3.0,4.0,6.0,22.96359375,47.324046419469084,1001.5263862744454,98.0675319068205,273875.0
1746052925.45,37.873849552816225,-122.25666041733753,36.0,3.0,4.0,6.0,22.95080078125,47.34953307429308,1001.5194719473786,98.12564358879753,273766.5
1746052927.48,37.87387231833448,-122.25666953543943,44.5,3.0,4.0,5.5,22.9325390625,47.39238800591127,1001.5115559833032,98.19217403253023,273229.0
1746052929.46,37.87388621473435,-122.2566729322133,42.0,3.0,4.0,5.5,22.91984375,47.47800210508089,1001.5039618933799,98.25599965682309,271733.5
1746052931.49,37.87391353735598,-122.25668764191073,40.5,3.0,4.0,5.0,22.905,47.557380463046826,1001.4985781528396,98.30124811928474,272692.0
1746052933.46,37.87392986773037,-122.256696722904,40.5,3.0,4.0,5.0,22.890546875,47.654891332256796,1001.498958533878,98.29805114420145,270686.5
1746052935.47,37.87394437690435,-122.25670641683205,48.0,3.0,4.0,5.0,22.8883984375,47.729865367377485,1001.5003212737183,98.28659776951744,270887.0
1746052937.45,37.87394869224316,-122.25673563970348,41.0,3.0,4.0,5.0,22.885273437499997,47.774641615303565,1001.5186449046112,98.13259452726984,273350.0
1746052939.5,37.87392542479138,-122.25674938633686,52.5,3.0,4.0,4.5,22.87765625,47.77371560505795,1001.5351151733691,97.994170061783,275720.0
1746052941.42,37.8738665491439,-122.25676636934844,52.5,3.0,4.0,4.5,22.87765625,47.77371560505795,1001.5351151733691,97.994170061783,275720.0
1746052943.52,37.87382329581353,-122.2567880222482,34.0,3.0,4.0,4.0,22.875507812499997,47.737328775791084,1001.5432608256008,97.92571069541825,275066.0
1746052945.46,37.87381046468433,-122.25678377160379,49.0,3.0,4.0,4.0,22.85861328125,47.83464324954872,1001.5707765618345,97.69446014157623,277040.0
1746052947.48,37.87381046468433,-122.25678377160379,34.0,3.0,4.0,5.0,22.83810546875,47.796012891666535,1001.5852418863838,97.57289122724875,277265.0
1746052949.46,37.87381046468433,-122.25678377160379,30.5,3.0,4.0,5.0,22.82931640625,47.788915496730915,1001.5801762180896,97.61546371206576,276596.0
1746052951.46,37.87381046468433,-122.25678377160379,30.5,3.0,4.0,5.0,22.81837890625,47.69728837013267,1001.5841023859737,97.58246771999207,276598.0
1746052953.45,37.87381046468433,-122.25678377160379,35.0,3.0,4.0,5.0,22.80529296875,47.67162221325442,1001.5843025157014,97.5807857772271,276486.5
1746052955.47,37.87381046468433,-122.25678377160379,41.5,3.0,4.0,5.0,22.79259765625,47.7122093712497,1001.5928093442903,97.5092937640001,275501.0
1746052957.45,37.87374852405041,-122.25703904589464,49.0,3.0,4.0,5.0,22.777265625,47.86992922892701,1001.613698301182,97.33374320441388,273342.5
1746052959.51,37.873620420395774,-122.25714921923574,49.5,3.0,4.0,5.0,22.76359375,47.98876928795863,1001.637464321345,97.1340177263414,274630.5
1746052961.43,37.873557735973556,-122.25718543703762,49.5,3.0,4.0,5.0,22.757441406250003,48.05735498367298,1001.6607051403234,96.93870922477797,274305.5
1746052963.51,37.87354687063703,-122.25719248494406,41.0,3.0,4.5,5.0,22.752460937499997,48.11103396253799,1001.6639363597906,96.91155535866444,273445.0
1746052965.45,37.8735296002053,-122.257085707516,44.5,3.0,4.5,5.0,22.74943359375,48.189097198867096,1001.6603817315947,96.94142700629473,270900.0
1746052967.45,37.87352766931346,-122.25697170494809,43.0,3.0,4.5,5.0,22.748359375,48.42146029195025,1001.6568233141186,96.97133054047961,268482.0
1746052969.47,37.8735266691725,-122.25694337413992,43.0,3.0,5.0,5.0,22.75763671875,48.770419553640906,1001.657652869509,96.96435929118593,265831.5
1746052971.45,37.873613972401216,-122.25703057833265,35.0,3.0,5.0,5.0,22.772578125000003,49.0237115091998,1001.6547403525801,96.9888349685069,262702.5
1746052973.51,37.87366153340573,-122.25706383053364,42.5,3.0,5.0,5.0,22.78419921875,49.3073228218276,1001.6808280300004,96.76960625674946,264903.0
1746052975.45,37.87366949132425,-122.25706988251433,42.5,3.0,5.0,5.0,22.7926953125,49.411646801445386,1001.7116701621678,96.51042869316666,267039.5
1746052977.48,37.87373141924964,-122.25708319282035,40.0,3.0,5.0,5.0,22.803046875,49.38863354505294,1001.7389482199968,96.28120681179072,270888.0
1746052979.43,37.87374690990001,-122.25707495120501,40.0,3.0,5.0,5.0,22.811054687499997,49.29547693976893,1001.7553793880259,96.14313558207729,271208.5
1746052981.47,37.87375206218305,-122.25707620431209,35.5,3.0,5.0,5.0,22.82287109375,49.20891001567135,1001.7648504489472,96.0635509645011,273335.5
1746052983.47,37.87371128773092,-122.25711109245472,45.5,3.0,5.0,5.0,22.83390625,49.11015155910195,1001.7653357021811,96.05947344874295,272052.5
1746052985.48,37.87368042016423,-122.25712464335139,41.5,3.0,5.0,5.0,22.83869140625,49.09254535509275,1001.7541335855997,96.1536040697189,272813.0
1746052987.4,37.873672543598,-122.25712865986497,41.5,3.0,5.0,5.0,22.83869140625,49.09254535509275,1001.7541335855997,96.1536040697189,272813.0
1746052989.49,37.873676549865266,-122.25717751690316,41.5,3.0,5.0,5.0,22.848359375,49.16352631031507,1001.7352894333642,96.31195185244633,269627.0
1746052991.45,37.87367873335067,-122.25719436393854,39.5,3.0,5.0,5.0,22.85470703125,49.294842576927564,1001.725100446288,96.39757116120339,270151.5
1746052993.48,37.87367914733752,-122.25719807196175,44.0,3.0,5.0,5.0,22.8571484375,49.40145934604942,1001.7140723162597,96.490242708338,270255.0
1746052995.45,37.87369334006397,-122.25715465273073,33.5,3.0,5.0,5.0,22.8680859375,49.49096961230083,1001.705058767835,96.56598596772815,267670.0
1746052997.5,37.873700225517,-122.25712681234518,33.5,3.0,4.0,5.0,22.88078125,49.738978023785144,1001.698244712959,96.62324659719891,264805.5
1746052999.45,37.873701316361355,-122.25712261486743,36.0,3.0,4.0,5.0,22.889375,49.93499050435419,1001.6894049643618,96.6975302626631,267861.5
1746053001.48,37.87368806567591,-122.25717698722569,30.5,3.0,4.5,5.0,22.89513671875,50.06376414692086,1001.6756539039604,96.81308662699584,263698.0
1746053003.45,37.87368047802498,-122.25720215236609,44.0,3.0,4.5,5.0,22.89552734375,50.13701973064146,1001.6653081401814,96.90002753550627,265206.5
1746053005.46,37.87367929448086,-122.25720622426928,44.0,3.0,5.0,5.0,22.8909375,50.102882271830126,1001.6573494228119,96.96690931784897,267245.0
1746053007.48,37.87373849210964,-122.2571887896722,36.0,3.0,5.0,5.0,22.88654296875,50.02913308715662,1001.6700794856642,96.85993129139202,266741.5
1746053009.48,37.8737849647537,-122.2571664626692,37.5,3.0,5.0,5.0,22.885078125,49.974069625823546,1001.6751707072652,96.8171471166603,264502.5
